cutoff_date,real_pce_growth_1,real_pce_growth_3,real_disposable_income_growth_1,real_disposable_income_growth_3,housing_starts_growth_1,housing_starts_growth_3,industrial_production_growth_1,industrial_production_growth_3,nonfarm_payrolls_diff_1,nonfarm_payrolls_diff_3,cpi_growth_1,cpi_growth_3,news_sentiment_latest,news_sentiment_mean_30d,news_sentiment_mean_90d,news_sentiment_momentum,quarter_end,gdp_initial,initial_growth,last_quarter_gdp,target
1992-01-18,0.36079046046673113,0.28730382254131825,-0.45199093871115537,-0.2686159419855727,-2.1346518207170817,0.942514045958287,-0.18535686493228454,-0.5550430530648853,31.0,-227.0,0.28985527540115186,0.79913247653014,-0.0085058603435754,-0.06663611495168878,-0.0912081377412606,0.024572022789571824,1991-12-31,1.0,0.2964607935914243,,0.2964607935914243
1992-04-18,0.5644871981168365,1.3455156171557903,0.6837633477603688,1.3467554364639867,6.195334300342381,19.961305390401574,0.28024306057021775,-0.18639334380630146,19.0,4.0,0.5034171005637411,0.8645586992853893,0.0538064166903495,0.08175594521065548,0.06123859832166795,0.020517346888987528,1992-03-31,1.004909613804437,1.9783555016385843,1.0,1.9783555016385843
1992-07-18,0.2535620774136049,-0.093414299179706,0.091787781981445,0.4374423603938027,-3.2043213638199397,-13.823326065840114,-0.36900410874531886,0.5560718684697541,-117.0,153.0,0.28551054369794215,0.6435488781991516,-0.0246320478618145,0.00969239526117841,0.014894139113150422,-0.005201743851972012,1992-06-30,1.0083736106675831,1.3859750116860914,1.004909613804437,1.3859750116860914
1992-10-18,0.05730054290715714,0.969469541684731,-0.5605710065946568,-0.5829286166592951,9.936040810334745,3.3706437881910745,-0.2758622439079872,0.09212345193203575,-57.0,-14.0,0.21269061545066137,0.6394337950726303,-0.0629325583577156,-0.05935476608574386,-0.01274443146798552,-0.04661033461775834,1992-09-30,1.0149897485349753,2.650421534049774,1.0083736106675831,2.650421534049774
1993-01-18,0.3012544595613065,1.2708098491485131,-0.11921100370759774,0.5396096760639679,1.459879942115272,0.7272759329080003,0.36264772291740854,1.4585491018893393,64.0,214.0,0.0703482266085409,0.7057192309998683,0.1863998025655746,0.23191442787647246,0.10492045098863954,0.12699397688783293,1992-12-31,1.024473711363575,3.7902722107579168,1.0149897485349753,3.7902722107579168
1993-04-18,0.2955608937661225,1.0591842208558688,-0.09349650069232496,0.8509749092963759,2.514801428322855,-1.479073800139652,0.0,0.8968669982760247,-22.0,458.0,0.13937284486038592,0.9797139244983377,0.1699274331331253,0.21033479670683536,0.21815681589974292,-0.007822019192907564,1993-03-31,1.029051286855161,1.79930333629994,1.024473711363575,1.79930333629994
1993-07-18,0.09745582036195799,0.3992847764950014,0.42986088889147567,0.7101270502552381,2.3587917524475976,5.281755583941461,-0.18148825308230698,0.0,13.0,483.0,0.0,0.5555569844602815,0.1243675798177719,0.10465889821449911,0.11436582952737805,-0.009706931312878933,1993-06-30,1.0330852485788675,1.577275689007318,1.029051286855161,1.577275689007318
1993-10-18,0.15297363466846292,1.0466138880168785,1.1933089798473517,0.5394192759798244,7.532971940404476,5.835961518558275,0.09013069560124265,0.45146803545259573,156.0,352.0,0.0,0.3456622867910042,0.1964344978332519,0.2139304692546526,0.1588850083450476,0.05504546090960499,1993-09-30,1.040354365300214,2.844372809020057,1.0330852485788675,2.844372809020057
1994-01-18,0.2830959412024825,0.9698506481347735,0.5068975450994273,0.9760610174389228,3.8438895946987017,7.539801748421215,0.7042282625413065,2.3071120901311915,183.0,547.0,0.2055499182096021,0.8247469430017418,0.3801373839378357,0.39237017631530763,0.3423972442746162,0.04997293204069142,1993-12-31,1.0552966910031032,5.870052942759618,1.040354365300214,5.870052942759618
1994-04-18,0.6686713870292849,1.0446330944684945,1.0460484932869107,1.0700104737260574,3.9740328649514822,-7.148530646071016,0.5203827875027045,1.393750784378156,456.0,623.0,0.3402521145840609,0.6132898268697673,0.1402951031923294,0.15252217749754582,0.23804351389408107,-0.08552133639653525,1994-03-31,1.0620417364485073,2.581260436901589,1.0552966910031032,2.581260436901589
1994-07-18,0.1687669167449002,0.016863880418860333,1.0170421143104846,1.1169501021134565,2.548763052014902,12.843559977259122,0.42900108695080874,0.7735320048420924,379.0,1032.0,0.2704531736418936,0.6095514978976979,0.1701300740242004,0.1327112992604573,0.14479446974065566,-0.012083170480198357,1994-06-30,1.0717515324081304,3.707488280125548,1.0620417364485073,3.707488280125548
1994-10-18,0.7401751549606317,1.020916496004176,0.3262475325851,0.38639319148963125,2.0315935160367005,-3.3415996919843316,0.0,1.0160968031408757,239.0,775.0,0.20100509280238654,0.8739551424963743,0.1793779879808426,0.19596517533063887,0.21816064698828588,-0.022195471657647015,1994-09-30,1.0808473330350674,3.438203352360869,1.0717515324081304,3.438203352360869
